folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00C4E166-D83A48EC-9A89767E-5F1F1410|MotorStorm Pacific Rift camp|Unwind after a day of brutal racing in your beachfront campsite.|Scene-Entitlement|Sony Computer Entertainment|1.3.2.16.BETA1|P||L|SCEE_MSPR_Apt_38C2_90B5|T032|Stephen_Routledge|||||||||||||EP9000-NPEQ00010_00-MOTORSTORM000033|UP9000-NPUQ00004_00-PACIFICRIFTBEACH|HP9000-NPHQ00006_00-0000430000000000|JP9000-NPJQ50010_00-AB40020000000000
02F15FC6-DE494F61-A2856059-3765740B|The Prairie Saloon|Mosey on down to the Saloon for a rootin tootin good time. Put on a performance on the stage, ride around the expansive grounds, or tend to your horse. Includes  Horse care game with 7 in-game rewards 4 Exclusive Saloon rewards This space is a Clubhouse.|Scene-Entitlement|Lockwood|1.80.0.53.PUB|P||L|Prairie_Saloon_Club_3754_A7A3|T032|JLee||||||F173BA13-4B674D64-948E720A-F3FFF5E9|||||||EP4127-NPER00050_00-THEPRAIRIE001099|UT5000-NPUR00012_00-LKWDTHEPRAIRIESA|HT4001-NPHR00036_00-0003060000000000|JT4001-NPJR50210_00-AA40070000000000
03DE7562-803A4BCC-A28ACD3C-8F3AB87D|Pharaoh s Tomb| Loosely translated from the hieroglyphs  Here lies Pharaoh Homenkhammun, about whom dancers rejoice and upon whom the Eye of Horus lingers. Loved by all, may he find further glory in the West. |Scene-Entitlement|Sony Computer Entertainment|1.52.0.2.PUB|P||L|SCEA_Pharoahs_Apt_2138_40E7|T034|ppurdy|||||||||||||EP9000-NPEQ00005_00-PHAROAHTOM002079|UP9000-NPUQ00010_00-1JBPHAROAHSTOMB1|HP9000-NPHQ00010_00-0004830000000000|
042A70AF-C4C641B7-AAB55602-1FE708AC|The Spunland Cottage|Take up residence in the Spunland Cottage, with scenic views of the purple skies and hills of Spunland. Includes a garden area with a grazing Flusho Spunner, suitable for relaxing in the afternoon. Explore the maze in the darker depths of the cottage when the house Lumino Spunner permits access. Trigger Sonic Spunners for your own combination of soundtrack, or invite your friends over for a Score Challenge and start the Spun Clock  who can catch the most Rabbits, collect the most Fruit and find the most Eggs in the spun time limit. Become a spun home owner today.|Scene-Entitlement|madmunki|1.86.0.17.PUB|P||L|Spunland_Playroom_C028_895A|T033|Dave|||||||||||||EP4393-NPER00062_00-SPUNLANDCO000079|UT5032-NPUR00280_00-0000770000000000||
046B3B88-640B45ED-A1A0AF17-9EEFC570|Musicality Apartment|A unique live music venue - up to four players can grab an instrument and jam compete against each other. Comes complete with the Dance music pack additional packs are available to purchase at the Musicality shop.|Scene-Entitlement|nDreams|1.3.2.16.BETA1|P||L|SCEE_Musicality_Apt_46B4_8AAE|T035|Stephen_Routledge|||||||||||||EP4114-NPER00011_00-MUSICALITY000006|UT5001-NPUR00020_00-NDMUSICALITYAPT1||
04E65407-CAC7407E-A862359E-8B4E176D|The Halloween Tour Bus Clubhouse|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Scene-Entitlement|JAM Games Ltd|1.86.0.17.PUB|P||L|HalloweenTourbusClub_C2DD_6CE|T031|Mike|||||||||||||EP4375-NPER00055_00-THEHALLOWE001047|UT5021-NPUR00200_00-0011300000000000||
051F2E74-69BF4FDD-B637F49D-EFD679B9|Discotheque Clubhouse|Dance the night away in this stylish discotheque. Featuring animated disco balls, spotlights and lasers, this vast underground night-club even contains a rythm-action dance mini-game, with a high-score leaderboard. Scoring 100,000 points will give you an exclusive reward... Whether you prefer to challenge your friends at the mini-game, party on the animated illuminated dance floor, sit on the stools at the bar, or relax on the comfy armchairs, this is the perfect place to invite your friends.|Scene-Entitlement|Atom Republic|1.80.0.53.PUB|P||L|Disco_Clubhouse_1269_DCD2|T032|mtyoung|||||||||||||EP4377-NPER00057_00-DISCOTHEQU000142|||
053159ED-F78E43D3-B58BEEDE-CC3A6831|Obsidian Officer s Quarters|Earth Fleet has constructed a new residency wing of the Novus Prime space station for high-ranking Obsidian pilots. Each apartment includes a Zero-Gravity Simulation System for the owner and guests.|Scene-Entitlement|Hellfire Games, Inc.|1.83.0.11.PUB|A||L|obsidian_officer_apt_b69f_9b19|T031|jposey||||||||||||||||
0537BA1A-F8934743-BFB06EEF-5819D61E|Men in Black Headquarters|Get an all-access pass when you own the Men In Black Headquarters as your own Private Space. Enjoy being the boss of the most top-secret organization established to monitor alien activity on Earth. Hang out with Frank the Pug in the MIB Offices, shop in the armory and relax in the break room. So suit up and get ready for the explosive return of Agents Kay and Jay in Men in Black III and the epic new video game Men in Black  Alien Crisis .|Scene-Entitlement|Sony Computer Entertainment|1.65.0.139.BETA|P||L|MIB_Headquarter_Apt_4280_6EBB|T032|jlee|||||||||||||EP0644-NPER00008_00-MENINBLACK000515|US0002-NPUR00001_00-MIBHEADQRTRSAPRT||
054FAFA9-D5DF4164-ADE3FC96-4F6C2A75|The Nightclub  Clubhouse|The Nightclub is the perfect venue for a fantastic night out. Dance to pumping music tracks on the dance floor, sip on drinks in the lounge area, or activate the foam cannon for an extra crazy night. Please note, in order to access this Clubhouse you will need to have purchased the Clubhouse slot from either the Estates Store or the Clubs menu (available in Options).|Scene-Entitlement|nDreams Ltd.|1.80.0.53.PUB|P||L|Nightclub_Clubhouse_CC06_8EE2|T033|bene||||||F58044D5-3C2C41F2-BC6F0B3A-839564F1|||||||EP4114-NPER00011_00-THENIGHTCL001510|UT5001-NPUR00020_00-0044740000000000|HT4002-NPHR00014_00-0012760000000000|JT4002-NPJR50260_00-AA40160000000000
0716BAC9-CBE74C2B-95E69620-0B42F835|A Dark Wizard s Mansion|Who knows what Dark magic has been performed within these walls. This centuries-old stately home is the perfect residence for the aspiring Dark witch or wizard. Please be aware that only Pottermore furniture can be placed in Pottermore personal apartments and that all chat functions have been disabled. Pottermore furniture can be purchased from the Pottermore shop. #PMExtraCommerce |Scene-Entitlement||1.82.0.17.PUB|P||L|Dark_Wizard_Apt_17D8_4177|T037|GBBrislSi|||||||||||||EP9000-NPEQ00021_00-ADARKWIZAR000297|UP9000-NPUQ00016_00-0002950000000000|HP9000-NPHQ00013_00-0002960000000000|
07357F60-FC504982-9E946020-1702D76A|Glittering Sands Secluded Retreat|Spend your holiday on a luxurious private beach. The clear blue sea, the white sandy beach, and the cottage on the ocean are all yours. With a friend, or with that special someone. Your holiday has just begun.|Scene-Entitlement|Granzella Inc.|1.75.0.85.PUB|P||L|Seaside_Apt_Asia_77E4_E0FB|T031|Administrator|||||||||||||||HP0025-NPHR00021_00-0008040000000000|
08A50448-25C6408F-93B42144-556321E7|The Spunland Cottage|Take up residence in the Spunland Cottage, with scenic views of the purple skies and hills of Spunland.|Scene-Entitlement|MadMunki|1.70.0.93.PUB|P||L|Spunland_Playroom_C028_895A|T031|astone|||||||||||||EP4393-NPER00062_00-SPUNLANDCO000079|||
099A248E-806944C7-887FB154-064F33D3|Xi  Continuum - Vertigo Apartment|This fantastical outdoor apartment, situated on the side of a skyscraper overlooking the Continuum, defies belief. This apartment grows in size as you play through Xi  Continuum, resulting in a massive and amazing home.|Scene-Entitlement|nDreams|1.70.0.93.PUB|P||L|Xi2_Axiom_Apt_8638_8203|T033|astone|||||||||||||EP4114-NPER00011_00-XICONTINUU000897|UT5001-NPUR00020_00-NDXIVRTGAPTXX670|HT4002-NPHR00033_00-0000570000000000|
09E3FE8D-5AEC4942-8AEE85EF-B4C3B3C9|Country Chic - Tour Bus|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Scene-Entitlement|JAM Games Ltd|1.86.0.17.PUB|P||L|CountryChicApt_65C0_4174|T031|Mike||||||1A16E6C0-4E98429B-9CA2BA4A-C4664A04,5483A97B-3B7344D0-AD002C0A-9923D8C8,EC2EB33F-76CC4057-8A3D8422-E213FB26|||||||EP4375-NPER00055_00-COUNTRYCHI000751|UT5021-NPUR00200_00-0008340000000000||
0A64C871-7C434211-98163DE4-7D8712B5|Discotheque|Dance the night away in this stylish discotheque. Featuring animated disco balls, spotlights and lasers, this vast underground night-club even contains a rythm-action dance mini-game, with a high-score leaderboard. Getting a high score will give you an exclusive reward... Whether you prefer to challenge your friends at the mini-game, party on the animated illuminated dance floor, sit on the stools at the bar, or relax on the comfy armchairs, this is the perfect place to invite your friends.|Scene-Entitlement|Atom Republic|1.70.0.93.PUB|P||L|Disco_Apartment_F7EE_FDF0|T032|JLee||||||||||||||UT5025-NPUR00220_00-0012310000000000||
0AA250D3-05B24899-B256646A-D78D9E8E|Audi Technology Apartment|The Audi Technology Apartment is your reward for configuring and racing your perfect car in the Audi Technology Experience. Inside the apartment you can relax, entertain your friends, or simply admire the view of the city below.|Scene-Entitlement|AUDI AG|1.70.0.93.PUB|L||L|Audi_Connect_Apt_C2D4_2F8B|T031|astone||||||||||||||||
0ABB6079-08A1450F-9BBFC56B-B89AC16A|Secret Peacekeeping Base, Yuma Caf |At a glance it appears to be a tasteful coffee shop, but behind a door in the rear is a secret base for heroes that utilise the most advanced science to battle evil. Well then, let s defend our tranquil planet Earth from the clutches of evil.|Scene-Entitlement|Granzella Inc.|1.80.0.53.PUB|P||L|Gzsdn_Lounge_PS_EU_90B7_372D|T031|mtyoung|||||||||||||EP5017-NPER00064_00-SECRETPEAC000795|||
0CB218BC-DDC44348-BBF97B0B-9DF1090E|My Private Hideaway|Washed ashore on a solitary island in the south seas. The blazing sun, the quiet ocean, the refreshing breeze, crap. I built a house on top of a cliff and even forgot to go home. You are now able to go to the|Scene-Entitlement|Granzella Inc.|1.60.0.451.PUB|P||P|Lagoon_Lounge_PSAsia_8378_DB55|T033|Granzella Inc.|||||||||||||||HP0025-NPHR00021_00-0004390000000000|
0D9584EC-0FC64A01-A7134965-E39748BF|The War Room Clubhouse|The War Room - perfect for clan meetings, socialising and plotting world domination. You and your fellow warmongerers can have your face and commands displayed on large screens throughout this high tech facility.|Scene-Entitlement|nDreams Ltd.|1.55.0.155.BETA2|P||L|Bunker_Clubhouse_A015_56D9|T032|jlee|||||||||||||EP4114-NPER00011_00-THEWARROOM000358|UT5001-NPUR00020_00-NDWARROOMCLUB001|HT4002-NPHR00014_00-0003570000000000|
0E54B445-040D401C-AF083E48-8139E4D4|Japanese Teahouse|A remote mountain location, with abundant vegetation and water. A small teahouse stands past the gate, beyond the garden stepping stones.The confined teahouse built according to the principles of wabi and sabi allows one to draw near to visitors. Spend a brief moment in silence.|Scene-Entitlement|Granzella Inc.|1.60.0.450.BETA|P||L|Tea_Lounge_Apt_SCEE_8D42_E7EF|T031|mtyoung||||||7ED28064-E2514485-9CAD9B39-F219E3A0|||||||EP5017-NPER00046_00-JAPANESETE001048|||
