folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0464CA03-88374946-83E00C25-122881D1|No Man s Land, Museum Expansion Map.|This map pack allows you to fight on the No Man s Land Museum Map.|Scene-Expansion|VEEMEE|1.66.0.144.PUB|P||L||T031|james|||||||||||||EP4065-NPER00053_00-NOMANSLAND000260|UT5002-NPUR00031_00-0001610000000000|HT4005-NPHR00028_00-0002770000000000|
05959018-4BC040BC-AD0B4D02-CC3BBF9D|Blueprint  Home - Cruise Ship Environment|Build your home on the deck of a gigantic cruise ship. Note - You will need to own Blueprint  Home to access this content once it has been purchased.|Scene-Expansion|nDreams Ltd.|1.65.0.139.BETA|P||L||T032|danm|||||||||||||EP4114-NPER00011_00-BLUEPRINTH000508|UT5001-NPUR00020_00-NDBLUECRUISESHIP|HT4002-NPHR00014_00-0004000000000000|JT4002-NPJR50260_00-AA50200000000000
06C8437A-1E53412A-A6ACABC0-48695707|Diamond Beach Infinity Pool|Add a private pool and strech of beach to your Modern Beach Mansion complete with rockwaterfall and cabanas. Go swimming in the pool with custom swim animations, lounge in the sun or wade into the ocean and enjoy the scenery. Did we mention the awesome rock waterfall.. Bring your friends over to swim and gift them with exclusive freebies  Golden Bikini, Golden Swim Trunks, Golden Beach Blanket, Golden Umbrella and Golden Ice Chest.|Scene-Expansion|Sony Computer Entertainment|1.60.0.450.BETA|P||L|BeachMansion_CE77_91AA|T031|Rocky||||||||||||||UP9000-NPUQ00020_00-DMNDBCHMNSN3RDFL||
072F62A3-86CE44BC-9B85BDE6-0BD646A3|Lock-a-doodle Doodle Pack - Jewel of the Skies|Each Doodle Pack contains new colors, stickers, words and shapes. Please note  Doodle Packs can only be used in conjunction with the Lock-a-doodle mini-game or Active Object, or Lock-a-doodle Gift Edition.|Scene-Expansion|Lockwood|1.70.0.93.PUB|P||L||T031|Lockwood||||||3A37DC89-246046A3-906512A0-6356A05E||||||||UT5000-NPUR00012_00-LKWDLOCKADFPCPAK|HT4001-NPHR00012_00-0026350000000000|
082F422B-2B4E4BAD-8094E7B9-DFBBCF7A|Blueprint  Home - Classroom Office Style Pack|This fantastic pack has everything you need to create your perfect classroom office. Purchasing this style pack will unlock the following items for use in your Blueprint  Home. * 7 x Classroom Office Wall Textures * 7 x Classroom Office Corner Pieces * 7 x Classroom Office Windows * 3 x Classroom Office Floor Textures * 3 x Classroom Office Ceiling Textures * 2 x Classroom Office Wall Styles * 1 x Classroom Office Pillar * 1 x Outer Classroom Office Wall * 1 x Outer Classroom Office Window * 1 x Outer Classroom Office Pillar * 1 x Outer Classroom Office Corner * Feature - Classroom Office Desk * Feature - Classroom Office Computer * Feature - Classroom Office Whiteboard All of the above items will become available in Blueprint  Home once this pack has been purchased. You will need to own Blueprint  Home to access these items.|Scene-Expansion|nDreams Ltd.|1.82.0.17.PUB|P|129|L||T034|adamf|||||||||s6_c1_x1_cv2.dds,s6_iw1_x1_v3.dds,s6_ow1_x1.mdl,s6_iw2_x1_v2.dds,classroom,s6_iw2_x3.mdl,s6_iw1_x3_v4.dds,s6_g1_p1.hkx,s6_ow1_x2_t1.dds,s6_iw1_x2_v2.dds,s6_og1_p2_t1.dds,s6_iw1_x1.hkx,s6_owg1_x1_t1.dds,s6_iw1_x1_v2.dds,s6_iw2_x3_v1.dds,s6_c1_x3_cv3.dds,s6_c1_x3_cv2.dds,s6_f1_x2_fv3.dds,s6_iw1_x2_v5.dds,s6_iw1_x3.hkx,game,s6_iwin2_x1.hkx,s6_iw2_x2.hkx,s6_c1_x4_cv1.dds,s6_iw1_x3.mdl,s6_iw2_x2_v2.dds,s6_iw2_x3_v2.dds,s6_f1_x4_fv3.dds,s6_f1_x3_fv1.dds,s6_cr2.hkx,s6_f3.dds,textures,s6_f1.mdl,s6_owin1_x1_t1.dds,s6_iwin1_x1.hkx,s6_cr1_v2.dds,s6_iwin1_x1_v2.dds,s6_owg1_x1.mdl,s6_owg1_x2.hkx,s6_ow1_x3_t1.dds,s6_f1.hkx,s6_c1_x1_cv3.dds,s6_f1_x4_fv1.dds,s6_ow1_x3.mdl,s6_iw1_x2.hkx,s6_g1_p1.mdl,packs,classroom.dds,s6_f1_x2_fv1.dds,s6_ow1_x1_t1.dds,s6_iw1_x1_v4.dds,floors,s6_cr1_v1.dds,s6_iw1_x1.mdl,s6_f1_x3_fv2.dds,s6_c1_x2_cv3.dds,exterior,s6_g1_p2.hkx,s6_f2.hkx,s6_iwin1_x1_v4.dds,s6_c1_x1_cv1.dds,s6_iwin2_x1_v1.dds,s6_iwin2_x1.mdl,s6_owin1_x1.mdl,s6_iwin1_x1_v1.dds,Classroom.xml,s6_owg1_x2_t1.dds,s6_owg1_x3.hkx,s6_iw1_x3_v3.dds,s6_iw1_x2_v3.dds,s6_ow1_x1.hkx,s6_iwin2_x1_v2.dds,s6_cr1.hkx,s6_iwin1_x1_v3.dds,s6_c1_x2_cv1.dds,s6_cr2_v1.dds,s6_f1.dds,s6_f1_x3_fv3.dds,s6_c1_x2_cv2.dds,s6_f1_x1_fv2.dds,s6_ow1_x2.hkx,s6_cr1_v5.dds,s6_cr1.mdl,s6_og1_p2.hkx,s6_iwin1_x1.mdl,s6_ocr1.hkx,s6_og1_p1_t1.dds,s6_iw2_x1_v1.dds,s6_f3.hkx,s6_ocr1.mdl,s6_iw1_x2_v1.dds,s6_f1_p.dds,s6_iw2_x2.mdl,s6_owin1_x1.hkx,s6_f2.dds,s6_f3_p.dds,s6_owg1_x3.mdl,s6_f1_x1_fv3.dds,s6_iw2_x1.mdl,s6_og1_p1.mdl,features,s6_owg1_x2.mdl,s6_cr2_v2.dds,s6_f1_x2_fv2.dds,s6_cr1_v4.dds,s6_iw1_x2_v4.dds,s6_ow1_x2.mdl,s6_owg1_x3_t1.dds,s6_f2.mdl,s6_iw1_x1_v1.dds,s6_iw1_x3_v2.dds,s6_iw1_x2.mdl,s6_owg1_x1.hkx,walls,ceilings,s6_iw1_x1_v5.dds,s6_iw1_x3_v5.dds,s6_iw2_x1.hkx,s6_c1_x3_cv1.dds,s6_iw2_x3.hkx,s6_cr2.mdl,s6_g1_p1_gv1.dds,s6_iwin1_x1_v5.dds,s6_c1_x4_cv3.dds,s6_c1_x4_cv2.dds,s6_f3.mdl,s6_f1_x1_fv1.dds,s6_f1_x4_fv2.dds,s6_iw1_x3_v1.dds,s6_g1_p2_gv1.dds,s6_iw2_x2_v1.dds,s6_ow1_x3.hkx,s6_og1_p2.mdl,s6_f2_p.dds,s6_og1_p1.hkx,s6_cr1_v3.dds,s6_g1_p2.mdl,s6_ocr1_t1.dds,windows||||EP4114-NPER00011_00-BLUEPRINTH000501|UT5001-NPUR00020_00-NDBLUECLASRMBNDL|HT4002-NPHR00014_00-0003930000000000|JT4002-NPJR50260_00-AA50130000000000
0A849C95-68D2468B-969A50F7-D4798327|Blueprint  Home - Nightclub Style Pack|Have you ever wanted to create your own nightclub. Well now you can with this amazing Blueprint  Home style pack. This pack comes with the following items  * 2 x Nightclub Wall Styles with 5 x Textures Each * 3 x Nightclub Floor Textures * 3 x Nightclub Ceiling Textures * 3 x Nightclub Pillars * 1 x Nightclub Outer Style * Feature - Nightclub Lights * Feature - Nightclub Atmosphere All of the above items will become available in Blueprint  Home once this pack has been purchased. You will need to own Blueprint  Home to access these items.|Scene-Expansion|nDreams Ltd.|1.82.0.17.PUB|P|278|L||T032|peteB|||||||||s9_g2_p2_gv1.dds,s9_cr1_v4b.dds,s9_iw3_x1_v5.dds,s9_iwin3_x1_v2.dds,s9_cr3.hkx,s9_g1_p1.hkx,s9_iwin3_x1_v4b.dds,s9_iw3_x1_v1.dds,s9_g2_p1_gv1.dds,s9_iw2_x1_v2b.dds,s9_cr3_v1b.dds,s9_iw1_x3.mdl,s9_f1_x1_fv2.dds,s9_iw1_x1_v1b.dds,s9_iwin2_x1_v2.dds,s9_cr3_v2.dds,s9_iw2_x3_v3.dds,s9_iw1_x1_v5b.dds,s9_cr1_v5b.dds,s9_cr1_v1b.dds,s9_iw2_x1_v5b.dds,s9_og1_p1_t1b.dds,s9_iw2_x1_v3.dds,s9_iwin1_x1_v4b.dds,s9_cr3_v4.dds,s9_iw3_x1_v3b.dds,game,s9_cr2.mdl,s9_iw2_x3_v2.dds,s9_cr2_v4b.dds,s9_iwin1_x1_v3.dds,s9_g3_p2.hkx,s9_owg1_x2_t1b.dds,s9_iw1_x2_v5b.dds,s9_f1_x1_fv1.dds,s9_c1_x5_cv2.dds,s9_iwin3_x1_v5.dds,s9_iwin3_x1_v2b.dds,s9_iw2_x1_v4.dds,s9_iw3_x3_v3b.dds,s9_f1_t1.dds,s9_iw1_x3_v1.dds,s9_owin1_x1_t1.dds,s9_cr2_v2.dds,s9_iw3_x3_v1.dds,s9_iw3_x2_v2b.dds,s9_iwin2_x1_v3b.dds,s9_iw2_x2_v4.dds,textures,s9_iw1_x2_v2.dds,s9_ocr1_t1.dds,s9_iw2_x2_v5b.dds,s9_iwin3_x1_v5b.dds,s9_iw1_x1.hkx,s9_ow1_x3.mdl,s9_iw3_x3_v5b.dds,s9_cr3_v3.dds,s9_iw3_x2_v1.dds,s9_iw3_x3_v5.dds,s9_iw3_x3_v1b.dds,s9_iw2_x1.hkx,s9_f1_x3_fv1.dds,s9_iw3_x2_v2.dds,s9_c1_x1_cv3.dds,packs,s9_og1_p2_t1b.dds,s9_owg1_x3_t1b.dds,floors,s9_c1_x3_cv3.dds,s9_f1_x4_fv1.dds,s9_cr3_v4b.dds,s9_iw2_x1_v1b.dds,s9_iw1_x2_v5.dds,s9_iw3_x1.hkx,s9_iw2_x1_v2.dds,s9_cr2_v4.dds,s9_owg1_x1_t1b.dds,s9_c1_x2_cv1.dds,s9_iw3_x1_v2.dds,s9_iw1_x1_v3.dds,s9_iw1_x3_v4b.dds,s9_g3_p1.hkx,s9_og1_p2_t12.dds,s9_iw1_x1_v3b.dds,s9_ocr1.hkx,s9_g3_p1.mdl,music,s9_owg1_x2.mdl,s9_f1_x3_fv3.dds,s9_iw3_x1_v1b.dds,s9_iw3_x3_v4.dds,s9_iw3_x2_v4b.dds,s9_og1_p1.mdl,s9_iw2_x3_v3b.dds,s9_cr1_v5.dds,s9_iwin2_x1_v3.dds,s9_owg1_x1_t1.dds,s9_iw3_x2_v4.dds,s9_c1_x1_cv2.dds,s9_owg1_x2_t1.dds,s9_f2_t1.dds,s9_ow1_x3_t1.dds,s9_iw2_x3_v1b.dds,s9_iwin1_x1.hkx,s9_iw2_x2_v2b.dds,s9_ow1_x2_t1b.dds,s9_iw2_x2_v1.dds,s9_iw1_x3_v4.dds,features,s9_iw1_x3_v2.dds,s9_ow1_x3.hkx,s9_cr3.mdl,s9_c1_x3_cv1.dds,s9_iw3_x3_v3.dds,s9_iw3_x3_v4b.dds,s9_cr1_v3.dds,s9_g2_p2.hkx,s9_iwin2_x1_v2b.dds,s9_iw1_x1_v1.dds,s9_g1_p2.hkx,s9_cr1_v3b.dds,s9_cr1.hkx,s9_og1_p1.hkx,s9_iwin1_x1_v1b.dds,s9_c1_x5_cv1.dds,s9_iw2_x2_v4b.dds,s9_iw2_x1_v4b.dds,s9_iw3_x1_v3.dds,s9_iw1_x1_v2.dds,s9_cr1.mdl,s9_og1_p2.hkx,s9_iw1_x2_v3.dds,s9_f1_x5_fv1.dds,s9_f1_x4_fv3.dds,s9_g2_p1.mdl,s9_c1_x4_cv2.dds,s9_ow1_x2.hkx,s9_iw1_x1_v2b.dds,s9_iw2_x3_v4b.dds,s9_iwin2_x1_v5b.dds,s9_iwin3_x1_v3b.dds,s9_iw1_x2_v2b.dds,music.dds,s9_iwin3_x1_v1.dds,s9_iw2_x1_v3b.dds,s9_iwin2_x1_v5.dds,s9_c1_x4_cv3.dds,s9_iw2_x1_v1.dds,s9_iw2_x3_v4.dds,s9_owg1_x1.mdl,s9_cr2_v5.dds,s9_f1_x2_fv1.dds,s9_f1_x2_fv2.dds,s9_owg1_x3.mdl,s9_iw3_x2_v1b.dds,s9_iwin1_x1_v5b.dds,windows,s9_ow1_x2.mdl,s9_cr1_v1.dds,s9_cr2_v2b.dds,s9_ow1_x2_t1.dds,s9_iw3_x1.mdl,s9_ow1_x1_t1b.dds,s9_cr2_v3.dds,s9_iw3_x2.mdl,s9_f1_x4_fv2.dds,s9_iw2_x3.mdl,s9_og1_p2_t1.dds,s9_f1_x1_fv3.dds,s9_cr3_v2b.dds,s9_cr3_v5.dds,s9_iw2_x3_v5b.dds,s9_iwin1_x1_v2.dds,s9_iw1_x2_v1b.dds,s9_iw3_x1_v5b.dds,s9_c1_x2_cv2.dds,s9_ow1_x1.hkx,s9_cr3_v1.dds,s9_g2_p2.mdl,s9_ocr1.mdl,s9_iw1_x1_v4b.dds,s9_f1_x2_fv3.dds,s9_iw2_x3_v5.dds,s9_cr2_v5b.dds,s9_cr2_v1b.dds,s9_g1_p1.mdl,s9_iw1_x3_v1b.dds,s9_f1.hkx,s9_c1_x2_cv3.dds,s9_iwin1_x1_v4.dds,s9_iw1_x3.hkx,s9_cr2.hkx,s9_ocr1_t1b.dds,s9_cr3_v3b.dds,s9_iw3_x1_v2b.dds,s9_f2.mdl,s9_c1_x5_cv3.dds,s9_owin1_x1.hkx,s9_g1_p2.mdl,s9_iw1_x3_v2b.dds,s9_c1_x4_cv1.dds,s9_g2_p1.hkx,s9_g1_p2_gv1.dds,s9_f1_p.dds,s9_iw3_x2_v3.dds,s9_iwin3_x1_v4.dds,s9_f1.mdl,s9_iw1_x3_v3.dds,s9_c1_x3_cv2.dds,s9_iw3_x1_v4b.dds,s9_iwin1_x1_v3b.dds,s9_iw1_x3_v5.dds,s9_iwin2_x1.hkx,s9_iw3_x2_v3b.dds,s9_cr3_v5b.dds,s9_f2_p.dds,s9_iw2_x2_v1b.dds,s9_iw2_x2_v2.dds,s9_iw2_x2_v3.dds,s9_iw3_x2_v5.dds,s9_iwin1_x1_v5.dds,s9_g3_p1_gv1.dds,s9_iw1_x2_v3b.dds,exterior,s9_ow1_x1.mdl,s9_iw3_x2_v5b.dds,s9_iwin2_x1_v1.dds,s9_iwin3_x1.hkx,s9_iw2_x2_v5.dds,s9_og1_p1_t1.dds,s9_iw3_x2.hkx,s9_f1_x5_fv3.dds,s9_iwin2_x1_v1b.dds,s9_iwin2_x1_v4.dds,s9_owg1_x3_t1.dds,s9_cr2_v3b.dds,s9_og1_p2.mdl,s9_f1_x5_fv2.dds,s9_owg1_x1.hkx,s9_iwin1_x1.mdl,s9_iw2_x1_v5.dds,s9_iw3_x1_v4.dds,s9_iw1_x2_v4b.dds,s9_iw1_x3_v5b.dds,s9_iw1_x1_v5.dds,s9_g3_p2.mdl,s9_iw1_x2_v4.dds,s9_f2.hkx,s9_cr2_v1.dds,s9_f1_x3_fv2.dds,s9_iw3_x3_v2.dds,s9_iw3_x3.hkx,s9_owg1_x2.hkx,s9_iwin3_x1.mdl,s9_iw2_x3_v2b.dds,music.xml,s9_iw2_x1.mdl,s9_iw1_x1.mdl,s9_iwin2_x1.mdl,s9_iwin1_x1_v1.dds,s9_cr1_v2b.dds,s9_iw2_x3_v1.dds,s9_iw2_x3.hkx,s9_iw1_x2.mdl,s9_iwin1_x1_v2b.dds,s9_iw1_x1_v4.dds,s9_owg1_x3.hkx,s9_iw1_x2.hkx,s9_ow1_x1_t1.dds,walls,ceilings,s9_iw2_x2.mdl,s9_g3_p2_gv1.dds,s9_iw3_x3_v2b.dds,s9_iwin2_x1_v4b.dds,s9_cr1_v4.dds,s9_c1_x1_cv1.dds,s9_iw2_x2.hkx,s9_iw1_x2_v1.dds,s9_owin1_x1.mdl,s9_ow1_x3_t1b.dds,s9_g1_p1_gv1.dds,s9_iwin3_x1_v3.dds,s9_iw3_x3.mdl,s9_iw1_x3_v3b.dds,s9_iw2_x2_v3b.dds,s9_iwin3_x1_v1b.dds,s9_cr1_v2.dds||||EP4114-NPER00011_00-BLUEPRINTH000863|UT5001-NPUR00020_00-NDBLUEPRNTHOME33|HT4002-NPHR00014_00-0006120000000000|JT4002-NPJR50260_00-AA50290000000000
107E5858-4DD348B2-BD0C5BD1-10230902|The Complex  Silo|Purchasing this item will unlock the Silo area within The Complex Apartment.|Scene-Expansion|nDreams Ltd.|1.75.0.85.PUB|P||L|Complex_Apt_F372_304E|T031|DavidF|||||||||||||EP4114-NPER00011_00-THECOMPLEX001095|UT5001-NPUR00020_00-NDTHECOMPLEX2852|HT4002-NPHR00014_00-0007800000000000|JT4002-NPJR50260_00-AA50360000000000
11B1D26A-73CC4E69-8422BEDF-DFB0C45A|Lock-a-doodle Doodle Pack - Spring Time|Each Doodle Pack contains new colors, stickers, words and shapes. Please note  Doodle Packs can only be used in conjunction with the Lock-a-doodle mini-game or Active Object, or Lock-a-doodle Gift Edition.|Scene-Expansion|Lockwood|1.70.0.93.PUB|P||L||T031|Lockwood||||||3A37DC89-246046A3-906512A0-6356A05E||||||||UT5000-NPUR00012_00-LKWDLOCKADUKIPAK|HT4001-NPHR00012_00-0026370000000000|
1774454A-BC524698-A3C44BF0-1AE58BFC|The Complex  Bio Dome|Purchasing this item will unlock the Bio Dome area within The Complex Apartment.|Scene-Expansion|nDreams Ltd.|1.75.0.85.PUB|P||L|Complex_Apt_F372_304E|T031|DavidF|||||||||||||EP4114-NPER00011_00-THECOMPLEX001096|UT5001-NPUR00020_00-NDTHECOMPLEX2853|HT4002-NPHR00014_00-0007810000000000|JT4002-NPJR50260_00-AA50370000000000
1B2F04E5-4583472A-A47B6CFC-523B71CB|The Complex 2  Garden|Purchasing this item will unlock the Garden area within The Complex 2.|Scene-Expansion|nDreams Ltd.|1.80.0.53.PUB|P||L|Cliff_Top_Apt_1C7D_9444|T031|PeteB|||||||||||||EP4114-NPER00011_00-THECOMPLEX001657|UT5001-NPUR00020_00-0045860000000000||
