folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00000016|Generic Game Launching Object|Generic Game Launching Object|System-GameLaunching|||U|2|L||T035|Martin Wong|||||||||00000000-00000000-00000000-00000016,GAMELAUNCHOPTIONS.XML,main.lua,Objects|||||||
00000000-00000000-00000000-00000019|Warhawk Game Launching Object|Warhawk Game Launching Object|System-GameLaunching|Sony Computer Entertainment||U|1|P|||Martin Wong|||||||||Objects,00000000-00000000-00000000-00000019,GAMELAUNCHOPTIONS.XML|||||||
0AC0ECC9-443F478A-A0F4631B-41F74E8F|SUPER STREET FIGHTER IV LAUNCH OBJECT|Launch Object for Super Street Fighter IV|System-GameLaunching|Capcom Co., Ltd|1.41.0.37.PUB|U|1|S||T035|Capcom Co., Ltd|||||||||0AC0ECC9-443F478A-A0F4631B-41F74E8F,main.lua,objects|||||||
0F7F44F1-947D4E1C-B0FE438B-65D53235|LBP Game Launching Object|LBP Game Launching Object|System-GameLaunching|Sony Computer Entertainment|1.3.2.27.PUB|U|1|L||T035|Amy Phillips|||||||||0F7F44F1-947D4E1C-B0FE438B-65D53235,Objects,GAMELAUNCHOPTIONS.XML|||||||
2A265632-3A824462-953AD20C-91B516D9|Xylo Launcher|Object Description|System-GameLaunching|Wizards of the Coast|1.41.0.37.PUB|U|1|L||T033|danm|||||||||objects,2A265632-3A824462-953AD20C-91B516D9,Menu_Options.xml|||||||
31F21226-4F0C4F5E-A8A14CEE-857B4571|Go On A Spelunking|Cave Expedition Together. A Variety Of Stages Await You, Including Glaciers, Volcanoes, And Pyramids Spread Out Beneath The Earth s Surface. The Game Is Also Packed With Elements That Everyone Can Enjoy, Such As Multiplayer Play With Other Spelunkers From Around The Country And Online Ranking That Reflects Your Adventure Record.|System-GameLaunching|IREM SOFTWARE ENGINEERING INC.||U|4|S||T000|S.Fujisawa|||||||||main.lua,ui.lua,soft,GameLaunch,V8Lounge,Data,LuaPadUtil.lua,ui_data.lua|||||||
34D2F494-B6214D8B-AE947ACB-5E2E9401|SPELUNKER HD|Venture into a cave full of hazardous environments, from volcanoes to glaciers to pyramids. Play online with spelunkers from around the world and compete with them in online rankings.|System-GameLaunching|IREM SOFTWARE ENGINEERING INC.|1.3.6.22.PUB|U|4|S||T031|IREM SOFTWARE ENGINEERING INC.|||||||||main.lua,us,ui.lua,soft,00,GameLaunch,V8Lounge,Data,LuaPadUtil.lua,ui_data.lua|||||||
38A030C6-60154787-B1ED7D88-C9C55A8F|STREET FIGHTER Game Launching Object||System-GameLaunching|Capcom Co., Ltd||U|1|S||T000|Capcom Co., Ltd|||||||||objects,GAMELAUNCHOPTIONS.XML,38A030C6-60154787-B1ED7D88-C9C55A8F|||||||
4F5B2DD5-A33B42C2-8C5B7177-A7014F2E|Catan|Catan|System-GameLaunching|GameRepublic||A|1|L||T000|GameRepublic|||||||||objects,catan.xml|||||||
61EAEDEE-E95C4F85-9C318099-A65699FD|Resident Evil 5 Launcher|Resident Evil 5 Launcher|System-GameLaunching|CAPCOM Co., Ltd|1.60.0.451.PUB|U|1|L||T033|000178|||||||||objects,GAMELAUNCHOPTIONS.XML,61EAEDEE-E95C4F85-9C318099-A65699FD|||||||
