folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
001CF12F-928C476C-B3DBC7B0-7A9233BA|whale_fire_pack||System-ResourcePack|O-Two inc.|1.70.0.93.PUB|U|1|L||T031|honjo|||||||||whale,fire,model.mdl,companion,model,follower|||||||
033A859F-0A854A8F-BF1FF933-47CB29DF|Challenge Resource Pack|Challenge Resource Pack|System-ResourcePack||1.83.0.11.PUB|U|8|L||T093|GBBrislSi|||||||||lua,ChallengeManager.luac,SData.luac,libs,Stats.luac,ResourcePacks,Utility.luac,system,TaskObject.luac,RewardsManager.luac,ChallengeObject.luac,ResourceLoader.luac,Challenge|||||||
03AB8FF5-E10543F0-82655817-8D80BA45|Killer Plants from Outer Space Level 4|Killer Plants from Outer Space Level 4|System-ResourcePack|FluffyLogic Development Ltd.|1.75.0.85.PUB|U|9|L||T032|ChrisMash|||||||||lvl4_botr.hkx,NazcaLineLvl4.mdl,lvl4_topl.hkx,topl,lvl4_topl.mdl,topr,botl,nazcalinelvl4,lvl4_topr.mdl,lvl4_botl.hkx,lvl4_topr.hkx,botr,lvl4_botl.mdl,lvl4_botr.mdl,environmentanimations|||||||
04A9AA79-5FBC48FB-BA29DE4B-9934AAE1|Candy Floss Concession Asia|Candy Floss Resource Pack|System-ResourcePack|VEEMEE|1.80.0.53.PUB|U|12|P||T031|dave|||||||||CandyFloss.mdl,CandyFlossMG.lua,VeeMeePark,CandyFlossGreen.mdl,CandyFloss2.mdl,CandyFlossCart.hkx,CandyFloss3.mdl,CandyFlossCart.mdl,CandyFlossBlue3.mdl,environments,CandyFloss,Concessions,veemeepark,CandyFlossBlue.mdl,candyfloss,CandyFlossGreen2.mdl,CandyFlossGreen3.mdl,concessionstands,CandyFlossBlue2.mdl,MiniGames|||||||
065C0B44-A35C4172-9D201EFB-96976091|MerciaResourcePack_Sounds|Mercia Resource Pack Fractures Planes Dungeon 1 Old Temple|System-ResourcePack||1.60.0.450.BETA|U|22|L||T034|Katie Goode|||||||||assets,Player,Mercia,Large_room.mp3,Player_SFX.bnk,Ambient_Point_SFX.bnk,stoneback_lizard.bnk,HulkingTurtle.bnk,Guerilla_Force_60.mp3,In_The_Dark.mp3,Medium_Room.mp3,sounds,Epic_Journey_full.mp3,Hard_Crest_Beetle.bnk,Ambient,The_Stirring.mp3,Dungeon,Journey_By_Night.mp3,Forbidden_Land.mp3,Wind.mp3,Outdoorspace.mp3,No_Escape.mp3,Science.mp3,Ambience,Music,SlimeSquish,SFX_Hints.bnk,Mercia_SFX.bnk,SlimeSquish_SFX.bnk,silence.mp3,Level_up_3.mp3,Creatures,MiniGames|||||||
072BD7A1-6F4F48CE-AB063ABE-48569622|FX Listener|FX Listener|System-ResourcePack|Sony Computer Entertainment|1.70.0.93.PUB|U|7|L||T034|Sony Computer Entertainment||||||Home SquareJPSummer,Home SquareJPWinterNight|||lua,EventSystem,fx.luac,SCEJ,99EE60AF-48BF4F7F-BD0268B4-2EB03304,Network.xml,doc,ResDownload.luac,ListenerFx.luac,EmbeddedObject,072BD7A1-6F4F48CE-AB063ABE-48569622,task.luac,information.luac,common,Lib,objects,EventSystem.luac|||||||
0735F3ED-9A3146A7-BF4CFE25-F3E5C2D3|Mandragora Aqua Pack||System-ResourcePack|O-Two inc.|1.70.0.93.PUB|U|1|P||T031|honjo|||||||||ver02,companion,mandragora,model,follower,Model.mdl|||||||
09346878-245D4394-B4A37850-BC88959C|PS4 Episode2 Museum|Quest for Greatness|System-ResourcePack||1.80.0.53.PUB|U|117|L||T060|jlin||||||SCEA_PS4_ActionV2_6CF8_F8C3,SCEA_PS4_Museum_3795_814|||Check.dds,lua,Kuro_Sneak_Animation_Grate1.skn,CronoScreen_Backdrop.dds,Toro_AU_Face05_B.skn,kuro,Kuro_Sneak_Animation_Grate1.ani,Kuro_Sneak_Animation_Grate2.skn,Kuro_Dialog.png,X.dds,ps4,stats.luac,scene5k.mdl,Toro_AU_Face05_B.mdl,scene5k.ani,Toro_Dance.mdl,Cerberus_dialog.png,Button_Square.dds,Cards,toro,scene7k.ani,audio,PlaystationSymbols_Dark.dds,Toro_AU_Face09.mdl,Kuro_Sneak_Animation_Grate2.ani,Toro_CA_F01.skn,breathing,museum,scea_PS4_action_JS.bnk,Kuro_breathing.skn,Kuro_Sneak_Animation_Grate1.mdl,Kuro_Sneak_Animation_01.mdl,toro_sit.ani,vouchreviewer.luac,Toro_CA_F01.ani,scea,Kuro_Sneak_Animation_02.mdl,Kuro_Sneak_Animation_02.skn,Trophy.dds,sparkle.efx,Toro_Dialog.png,Card_Shadow.dds,Kuro_Dance.ani,Button_Circle.dds,Kuro_Sneak_Animation_01.skn,scene7k.mdl,chronosort.luac,Kuro_Sneak_Animation_Grate3.ani,Toro_AU_Face05.mdl,Foreground_1.dds,Card_Placer.dds,Toro_AU_Face09.ani,scene7k.skn,minigame.luac,Lock_Fail.dds,Kuro_breathing.ani,PSStore_icon.dds,effect_fullscreenflash.luac,leaderboard.luac,Lock_Unknown.dds,R1.dds,toro_sit.mdl,Toro_CA_F09.skn,LargeLogo_light.dds,Backdrop_5.dds,Vita,Museum,Kuro_Silo_Dialog.png,Kiosk,Kuro_Sneak_Animation_Grate2.mdl,cameras.luac,Toro_AU_Face05.skn,config.xml,milk_bowl.mdl,Kuro_Dance.mdl,PS4,Card_Glow_Red.dds,textures,hotspots.luac,Button_X.dds,renderhelper.luac,Card_Glow_Green.dds,Button_Triangle.dds,Kuro_Sneak_Animation_03.ani,LargeLogo_Dark.dds,Stick.mdl,Toro_AU_Face05.ani,Toro_CA_F09.mdl,Kuro_Sneak_Animation_03.skn,PlaystationSymbols_light.dds,Kuro_Sneak_Animation_Roof.mdl,Backdrop_4.dds,L1.dds,Toro_Dance.ani,Card_Unknown.dds,Kuro_Sneak_Animation_01.ani,Toro_CA_F01.mdl,SST-Roman.ttf,Toro_Dance.skn,Kuro_breathing.mdl,Kuro_Sneak_Animation_Roof.ani,dialogmanager.luac,cardmanager.luac,Toro_AU_Face09.skn,Postcard.mdl,toro_sit.skn,MiniGames,action,Logo_Small.dds,Kuro_Sneak_Animation_Grate3.skn,Toro_AU_Face05_B.ani,titlescreen.luac,Kuro_Dance.skn,environments,scene5k.skn,minigames,gum.mdl,core,Backdrop_3.dds,gold.dds,Kuro_Sneak_Animation_02.ani,platinum.dds,Toro_Title_Screen.dds,rewardscreen.luac,animatedmodels,Lock_Pass.dds,Toro_CA_F09.ani,silver.dds,file,Kuro_Sneak_Animation_Roof.skn,Card_Glow.dds,Crono_Arrow.dds,Backdrop_1.dds,Kuro_Sneak_Animation_Grate3.mdl,Kuro_Sneak_Animation_03.mdl,bronze.dds,dialog.luac|||||||
09373535-37D74F00-8EA2F2DC-4EF893B6|wooperlooper_aqua_pack||System-ResourcePack|O-Two inc.|1.70.0.93.PUB|U|1|P||T031|honjo|||||||||water,companion,wooperlooper,model,follower,Model.mdl|||||||
0A35A9EB-516B4B2D-8746B75F-A5DBE42E|Xi  Continuum Management|Management program for the entire space|System-ResourcePack|nDreams Ltd.|1.86.0.17.PUB|U|354|L||T041|StevenC||||||Xi2_Axiom_Apt_8638_8203,Xi2_Axiom_EBBE_26D4|||tib_idle.ani,Chatbox.bnk,botDontDropAlt.ani,eatFlamingDeath.dds,serious_L.dds,logo.dds,sort,stats,hazcon.lua,angry_S_2.dds,hazcon_object.ani,col_4To6.hkx,cs_day01_025_06082012.mp3,stalkerBot.skn,Sound,efdintero,shot1Fire.efx,male_fallingTumble.ani,fallingBlocks_done.mdl,col_startToBomb.hkx,FullBodySuit_EvilStapler.skn,eager_L.dds,number1.mdl,Story,hqdoors,DarkRiderstest.mp3,oddExplosion.skn,cs_day01_008_06082012.mp3,constants.lua,cs_day01_024_06082012.mp3,BGBuilding01.mdl,cs_day01_005b_06082012.mp3,29,cs_day01_031_06082012.mp3,cityBlockOffLaser.mdl,col_startTo1.hkx,merylBroken.ani,oddExplosion.ani,number5.mdl,number2.mdl,area10.mdl,silhouette.dds,Management,qe.lua,cityBlockOff.mdl,textures,efdRantIdle_camera.skn,idle_swarm_01.skn,particle,cs_day01_042_06082012.mp3,Continuum_Day_Start2.mp3,repertoires,idle_swarm_02.skn,keypad.mdl,ximgr_comms.lua,countDownClock.mdl,cs_day01_021_06082012.mp3,database,chattingHeads,Tiberius_SKINNED.ani,col_9To10.hkx,cs_day01_004_06082012.mp3,evilstapy,area6.mdl,ffeffect1.dds,merylbroken,eatflmaningdeath,idle_stapler_02.hkx,S_E_bank.bnk,angry_S_1.dds,idle_swarm_01.hkx,buymecollisionbox,idles,neurtral_S.dds,environments,minigames,flame_idle2.ani,number3.mdl,stereo_tune.mp3,HUD,19,treeFlat.xml,Tracker,Story_AxiomApt.xml,col_4To9.hkx,happy_L.dds,Flaminatrix_SKINNED.mdl,treeLocs.xml,bgbuildings,area7.mdl,idle_swarm_02.hkx,incidentalcutscenes,vita_music.mp3,commschatter.lua,vinCorner.dds,emptyStatic.dds,neutral_L.dds,Cutscenes,cameraanimation,cs_day01_032_06082012.mp3,hq1stDoors.hkx,1n2,trannyTube.mdl,Dark_Hero_6.1.mp3,CountdownTimer.mp3,MP3s,female_shot7_floorToStand.ani,thoughtful_L.dds,idle.skn,Jess.dds,area5.mdl,stap_idle_01.ani,nullProbe.probe,startArea_8BombArea.mdl,steroPartFour.mdl,card,bomb_whole.hkx,SandBox_SKINNEDV2.skn,cs_day01_007_06082012.mp3,Merysilvertonge_SKINED.mdl,minigame.lua,male_falling_TO_flail.ani,XMLS,fallingBlocks_2.skn,teleport.ani,cs_day01_012_06082012.mp3,Database,hqWall.mdl,scripts,oddExplosion.mdl,wires.mdl,idle_stapler_01.hkx,eager_S.dds,col_1To2.hkx,cs_day01_010_06082012.mp3,cs_day01_017_06082012.mp3,idle.mdl,Flaminatrix_SKINNED.skn,idle_GENERIC_Deity.ani,cs_day01_011_06082012.mp3,common,flat,emptyStatic_2.dds,shot1.ani,hazcon_object.skn,FullBodySuit_EvilStapler.mdl,sandbox,lookHere.mdl,junkFenceClosed.mdl,efd_turnAndRun.ani,epic_coder.dds,glasgobo_mask.dds,angry_L_1.dds,cutscenemanager.lua,trannyTube.skn,silverTIdle.ani,shot4_fallingblocks.mdl,ASZlogo.dds,generichumanoidcollision,botDontDropAlt.skn,idle_swarm_02.mdl,efdwarehouse,management,merylBroken.mdl,Intro_Bank.bnk,cs_day01_005_06082012.mp3,Dark_Hero_4.1.mp3,Continuum_Day_Start.mp3,EFD_06082012.mp3,serious_S.dds,female_falling_TO_flail.ani,monoRailCar.mdl,storydirector.lua,cs_day01_008b_06082012.mp3,use.ani,explosionAnim.mdl,warehouse_amb.mp3,SceneApt.xml,explosion,35,shot1Explosion.efx,botDrop.skn,aimanager.lua,steroPartFour.hkx,sand_idle.ani,thoughtful_S.dds,Network.xml,bomb.mdl,area4.mdl,EatFlamingDeath.ani,glow.mdl,eft_walkAway.ani,sarcophagus_bit1.hkx,notificationpopups.lua,12,walk.ani,paper,botDontDrop.skn,Hazcon.xml,file,47,swarmBot.mdl,screws.mdl,cs_day01_029_06082012.mp3,nerdica.dds,interiMeryl.ani,peon,And,sarcophagus_b.hkx,AIMap,fallingBlocks.ani,Flaminatrix_SKINNED.ani,lua,Cutscenemp3s,MiniGames,swarmBot.ani,cs_day01_013_06082012.mp3,qcollection,extraBGstuff.hkx,interiMeryl.skn,botDrop.ani,flaminatorix,fallingBlocks_2.mdl,Aeropal_noises.bnk,utility.lua,use_out.ani,modelanimation,botDontDropAlt.mdl,use_in.ani,additionalincidentals,cs_day01_020_06082012.mp3,Database_Axiom.xml,angry_L_2.dds,female_fallingTumble.ani,genericHumanoidCollision.hkx,merylsilvertonge,cs_day01_042b_06082012.mp3,cs_day01_002_06082012.mp3,01,area3.mdl,hazcon_object.hkx,hq2ndDoors.mdl,idle_stapler_03.ani,dbmanager.lua,shot1.skn,paper1.mdl,Dark_Hero_15.1.mp3,Merysilvertonge_SKINED.skn,cityBlockOffLaser.hkx,walk_in.ani,cs_day01_009_06082012.mp3,cs_day01_019_06082012.mp3,fallingBlocks_2.ani,col_startTo7.hkx,efd_floorSit.ani,cs_day01_028_06082012.mp3,Stapler1.mp3,exporthq,Stereo_Place.mp3,stalkerBot.mdl,female_rep.xml,codefragment.lua,hq2ndDoors.hkx,Warehouse_proxim2.mp3,tibIdle.ani,xi,enlightened_L_2.dds,BGBuilding02.mdl,sarcophagus,cs_day01_026_06082012.mp3,EvilStapler_exposedBelly.mdl,shot4n5blocks.mdl,shut.ani,idle_swarm_01.ani,characteranimation,number4.mdl,shut.mdl,keypad,corrupt_peon.mdl,comms,deitys,shot2_tube.mdl,CutScene_Axiom.xml,male_shot7_floorIdle.ani,21,Dark_Hero_71.1.mp3,fallingBlocks.mdl,female_flailIdle.ani,cs_day01_030_06082012.mp3,20,area9.mdl,sarcophagus_b.mdl,cs_day01_003_06082012.mp3,base.mdl,Drones.bnk,tiberius,axiomLogo.dds,EatFlamingDeath_SKINNING.ani,Scripts,cs_day01_006b_06082012.mp3,collectionPiece.mdl,Xi,sandboxx.dds,tiberius.dds,24,home,cityBlockOff.hkx,idle_GENERIC_female.ani,Search,licencePlate.mdl,warehouseminigame,sarcophagus_bit3.hkx,sarcophagus_bit1.mdl,hq1stDoors.mdl,collision.hkx,male_fallingIdle.ani,shut.skn,cs_day01_027_06082012.mp3,male_rep.xml,doom.mp3,shot4_fallingblocks.ani,statsmanager.lua,Warehouse_proxim.mp3,antenna,your_here_continuum.mp3,merylsilvertongue.dds,stalkerbot,junkfence,botDrop.mdl,Map.xml,bomb_whole.mdl,3dobjects,idleCollision.hkx,card.mdl,sarcophagus_bit2.hkx,flame_idle.ani,merylBroken.skn,EatFlamingDeath.mdl,male_shot7_floorToStand.ani,hazcon,bomb,efd_roofIdle.ani,collectionPiece.ani,deferred,director,Tiberius_SKINNED.mdl,chatBox.dds,idle_stapler_03.hkx,swarmbotdrop,flaminatorix.dds,idle_swarm_01.mdl,flamIdle.ani,nullprobe,enlightened_L_1.dds,col_7To6.hkx,cityblockoff,monorail,EatFlamingDeath_SKINNING.mdl,sarcophagus_destroyed.mdl,Scene.xml,botDontDrop.ani,tree.skn,waypointCube.mdl,CutScene_AxiomApt.xml,idle_01.ani,male_shot6_rockToFloorBounce.ani,tree.ani,shopbag,park,col_2To3.hkx,collectionPiece.skn,fallingBlocks_done_2.mdl,happy_S.dds,Tiberius_SKINNED.skn,cs_day01_001_06082012.mp3,hazcon_object.mdl,walk_out.ani,Snow_Crash_test.mp3,Story_Axiom.xml,tools.mdl,space,male_flailIdle.ani,Sounddogs_BonzaiWarhead.mp3,area2.mdl,Trash_Chase2.mp3,evilstapler,introcutscene,burnt,edfrooftop,idle_GENERIC_male.ani,doombot.dds,qe,interiMeryl.mdl,callingCard.mdl,female_shot7_floorIdle.ani,col_4To5.hkx,SandBox_SKINNEDV2.mdl,tree_grow.ani,tree.mdl,park.lua,stereo.mdl,blockout,swarmBot.skn,col_3To4.hkx,monoRailCar.skn,area1.mdl,idle.ani,sarcophagus_destroyed.hkx,female_fallingIdle.ani,shot4_fallingblocks.skn,explosionMark2.efx,EatFlamingDeath_SKINNING.skn,shopbag.mdl,trannyTube.ani,FullBodySuit_EvilStapler.ani,tree,resmanager.lua,sarcophagus_bit2.mdl,fallingBlocks.skn,Antenna.mdl,meryBit2.mdl,efdRantIdle.ani,efdRantIdle_camera.ani,Cutscene_bank.bnk,monoRailCar.ani,scenemanager.lua,sleepy_S.dds,botDontDrop.mdl,Antenna.hkx,cs_day01_006_06082012.mp3,soundbank_manager.lua,bomb.hkx,junkFenceClosed.hkx,monoRail.mdl,battery.mdl,idle_swarm_02.ani,female_shot6_rockToFloorBounce.ani,SceneScript,extraBGstuff.mdl,sarcophagus_bit3.mdl,doomclock.lua,solidTube.mdl,tree_grow_back.ani,idle_stapler_02.ani,speedLines.mdl,peon.mdl,Merysilvertonge_SKINED.ani|||||||
