folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
029E8AC4-00024C73-AA15228B-C51B1AB3|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|SOCOM||U||S|SOCOMTOC_0000_0000|T001|||||||||||||||||
0367F55E-55BD41EC-B3AB9DEA-DD082B22|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|Sony Computer Entertainment||U||S||T032|PP||||||||||||||||
037CB0CC-49F84E1F-B5B4FA54-0EC31C9B|Gathering Place for Spelunkers|The entrance to the Spelunkers Gathering Place deep inside the Earth. It s filled with Spelunkers exchanging information about the depths of the Earth and searching for exploring partners.|System-Worldmap|IREM SOFTWARE ENGINEERING INC.||U||S||T032|SCEAsia||||||||||||||||
03EDB0D6-31E64A64-9DBB6134-57B91231|The Nether Institute, Evil Academy|The Nether Institute, Evil Academy in DISGAEA 3 came to here as a lounge.|System-Worldmap|NIPPON ICHI SOFTWARE INC.||U||S||T000|SCEAsia||||||||||||||||
05D56819-5ACD4932-9658BC3F-43D4DC08|Carrot NBGI|This Is Namco Bandai Game s Amusement Space. Popular Characters And Game Machines Are On Exhibit Here.|System-Worldmap|NAMCO BANDAI Games Inc.||U||S||T000|NAMCO BANDAI Games Inc.||||||||||||||||
0A42BBB8-5C6F4307-96C3D720-6489932A|MotorStorm   Carrier|A decommissioned aircraft Carrier, bought by a wealthy, anonymous rock star and donated to MotorStorm. It is an integral part of the festival, providing a means of escape, an amazing party venue and a home, all rolled into one. The Stormers love the Carrier. The Carrier is MotorStorm .|System-Worldmap|MotorStorm ||U||S|SCEE_MS_Carrier_B6D5_23B8|T038|||||||||||||||||
0BDA051D-B1664E4C-AAC5467E-E493536B|Resistance Station|A last bastion of hope for Nathan Hale and the Sentinels where you ll need to fend off the Chimerian aerial forces with your trusty Quad Barrel, quick repeating, AA ball-turret gun.|System-Worldmap|Resistance Station|1.3.0.289.CORE|U||S||T032|PlayStation Home||||||||||||||||
0C2A6976-E7814A86-8C3346F1-39957CB5|FevaArena Entrance|Sony, An Official FIFA Partner, Is A New Communication Zone For The 2010 FIFA World Cup, Football Stadium, A New Communication Zone For The 2010 FIFA World Cup.|System-Worldmap| |1.3.0|U||S||T031| ||||||||||||||||
0CC4E017-11474438-ACADBFD8-B60E24A9|Burn Zombie Burn|Welcome to the Burn Zombie Burn graveyard laugh at our zombies, watch our trailer.|System-Worldmap|Burn Zombie Burn||U||S|DoubleSix_Lobby_D790_6CE|T039|||||||||||||||||
0CD0C26E-52044222-BC23D57F-2FCA4141|Mao s Room|Mao s Room In Disgaea 3 Appears As A Lounge.|System-Worldmap|NIPPON ICHI SOFTWARE INC.||U||S||T000|||||||||||||||||
