folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
004CDEFD-EDC5445B-822BE4E1-D9365293|Present|Present|Unknown|Sony Computer Entertainment|1.70.0.93.PUB|U|18|L||T038|stuart_barnett|||||||||Present.lua,xml.lua,network.lua,present6_lid.hkx,efx,femalepresent_THUB128.dds,Christmas09,script.lua,main.lua,SantasQuests,generic,present6.hkx,present6.mdl,VMInventory.lua,test.xml,ATGParticles,present6_lid.mdl,init.lua,Present6,christmas_present_trail.efx,osd.lua,malepresent_THUB128.dds,tools.lua,Presents,CallSanta.lua,MiniGames|||||||
0126AD78-4AF44A91-BF41DA82-C7A9459E|Manya Resource Pack|Manya Resource Pack|Unknown||1.60.0.450.BETA|U|102|P|||ifuzi|||||||||Han_keihin_058.dds,Han_keihin_074.dds,Han_keihin_037.dds,Han_keihin_055.dds,Han_keihin_080.dds,Han_keihin_021.dds,han_keihin_091.dds,Han_keihin_045.dds,han_keihin_090.dds,Han_keihin_038.dds,han_keihin_102.dds,trade,han_keihin_098.dds,Han_keihin_015.dds,Han_keihin_062.dds,Han_keihin_010.dds,Han_keihin_025.dds,Han_keihin_026.dds,Han_keihin_048.dds,Han_keihin_083.dds,Han_keihin_030.dds,Han_keihin_027.dds,Han_keihin_053.dds,Han_keihin_036.dds,Hankagai,Han_keihin_001.dds,Han_keihin_044.dds,Han_keihin_059.dds,Han_keihin_019.dds,Han_keihin_057.dds,Han_keihin_013.dds,Han_keihin_082.dds,Han_keihin_049.dds,Han_keihin_040.dds,Han_keihin_054.dds,Han_keihin_073.dds,han_keihin_092.dds,Han_keihin_068.dds,Han_keihin_064.dds,Han_keihin_002.dds,Han_keihin_035.dds,Han_keihin_003.dds,Han_keihin_052.dds,han_keihin_094.dds,Han_keihin_047.dds,Han_keihin_034.dds,Han_keihin_028.dds,Han_keihin_067.dds,Han_keihin_009.dds,Han_keihin_069.dds,Han_keihin_033.dds,Han_keihin_086.dds,Han_keihin_076.dds,Han_keihin_031.dds,han_keihin_088.dds,Han_keihin_023.dds,Han_keihin_042.dds,design,Han_keihin_072.dds,Han_keihin_046.dds,Han_keihin_018.dds,Han_keihin_085.dds,han_keihin_100.dds,Han_keihin_081.dds,Han_keihin_051.dds,Han_keihin_022.dds,Han_keihin_050.dds,Han_keihin_005.dds,Han_keihin_077.dds,Han_keihin_017.dds,han_keihin_095.dds,han_keihin_099.dds,Han_keihin_060.dds,Han_keihin_078.dds,Han_keihin_041.dds,Han_keihin_075.dds,thumbnails,Han_keihin_008.dds,cmn,Han_keihin_004.dds,Han_keihin_063.dds,Han_keihin_084.dds,Han_keihin_011.dds,Han_keihin_006.dds,Han_keihin_024.dds,han_keihin_093.dds,Han_keihin_012.dds,Han_keihin_016.dds,Han_keihin_061.dds,Han_keihin_071.dds,han_keihin_097.dds,han_keihin_087.dds,Han_keihin_043.dds,Han_keihin_007.dds,Han_keihin_029.dds,han_keihin_101.dds,Han_keihin_070.dds,Han_keihin_065.dds,Han_keihin_066.dds,Han_keihin_032.dds,Han_keihin_079.dds,Han_keihin_020.dds,Han_keihin_014.dds,Han_keihin_056.dds,han_keihin_096.dds,han_keihin_089.dds,Han_keihin_039.dds|||||||
0263DCAB-B1F64240-9A6D6EAB-B58FCB43|Black Irem Brigade Entrance Examination|Black Irem Brigade Entrance Examination|Unknown|NIPPON ICHI SOFTWARE INC.||U|55|S||T034|NIPPON ICHI SOFTWARE INC.|||||||||DynamicSound.lua,data,PrinnyReady.dds,Almaz2.dds,boards.dds,Beryl0.dds,Mao1.dds,win_en.dds,nis_quiz_panel_a_c.dds,eyecache2_en.dds,assay_zh-HK.xml,snd.bnk,types.xml,Nis_Fig_Prinny.hkx,fig,DisgaeaAssay,lightMask.dds,furniture,shout.dds,Beryl1.dds,Prinny1.dds,reward_set.lua,eventOsd.lua,nis_obj_corkboard_uketuke_goudou.mdl,Almaz1.dds,lightMask2.dds,lose.dds,eyecache2.dds,ArrayList.lua,nis_quiz_panel_c_c.dds,AssayXml.lua,goudou,title.dds,assay_ko-KR.xml,bgm.mp3,DisgaeaAssay.lua,Nis_Fig_Prinny.mdl,0263DCAB-B1F64240-9A6D6EAB-B58FCB43,quiz,rankingTitle.dds,prinny,osd,nis,lose_en.dds,eyecache1.dds,nis_quiz_panel_b_c.dds,always.xml,TextureAnimation.lua,nuber_bg.dds,rankingBoard.dds,NetworkBag.xml,Mao2.dds,selectbar.xml,win.dds,assay.xml,nis_obj_corkboard_uketuke_goudou.hkx,corkboard,Beryl2.dds,assay_en-SG.xml,panel,Prinny2.dds,textures,baloon.dds,uketuke,Mao0.dds,objects,eyecache1_en.dds,assay_zh-TW.xml,Prinny0.dds,Almaz0.dds|||||||
03A942B5-708E4E96-8003205B-3269F04F|Peek At Mao s Diary.|Peek At Mao s Diary.|Unknown|NIPPON ICHI SOFTWARE INC.|1.3.6.22.PUB|U|5|S||T034|NIPPON ICHI SOFTWARE INC.|||||||||texture.dds,ShowPoster,TextureAnimation.lua,data,ArrayList.lua,ShowPoster.lua,03A942B5-708E4E96-8003205B-3269F04F,snd.bnk,DisgaeaAssay,objects,MiniGames|||||||
04A57D2F-54CB45F4-9C660C2B-8B592591|H-O-R-S-E Basketball Game|The street basketball game H-O-R-S-E.|Unknown|Sony Computer Entertainment America|1.3.6.22.PUB|U|111|L||T034|John C. Ardussi|||||||||male_jumpshot_aimmed_hard2_t002.ani,horsegame,trophy_winner.dds,male_hookshot_aimhi_medium2_t001.ani,Triangle.lua,MyCameraMgr.lua,num-0.dds,court.xml,Bounds.lua,04A57D2F-54CB45F4-9C660C2B-8B592591,female_jumpshot_aimhi_hard2_t002.ani,male_bounceshot2_t001_v03.ani,Physics,arrow.mdl,letter-h.dds,letter-o.mdl,number-4.mdl,female_hookshot_aimhi_medium2_t001.ani,letter-e.dds,HORSE.lua,female_bounceshot2_t002_solve_000.ani,Player.lua,HUD.lua,number-0.mdl,GameMgr.lua,OSD,arrow.dds,MyPad.lua,num-8.dds,women.xml,textbox.xml,coin.mdl,basket.dds,female_hookshot_aimmed_hard2_t001.ani,male_shot_celebration2_t002_solve_000.ani,overhead.dds,HORSEGame,simplemenu.xml,female_shot_celebration_t001.ani,male_hookshot_aimhi_hard2_t001_v05.ani,Scoreboard.lua,male_hookshot_aimmed_hard2_t002.ani,cones.hkx,male_jumpshot_aimhi_medium__t002.ani,male_idle_NoBall.ani,male_hookshot_aimmed_medium2_t001.ani,Object.lua,female_shot_miss_t001.ani,letter-h.mdl,blank.dds,num-9.dds,spot2.dds,Basketball.hkx,Physics.lua,power_bar.dds,men.xml,male_idle_WBall.ani,number-9.mdl,female,male_jumpshot_aimmed_medium_t001.ani,textures,objects,basictext.xml,letter-e.mdl,trophy_loser.dds,male_shot_celebration2_t001_solve_000.ani,Sphere.lua,letter-s.mdl,World.lua,Plane.lua,male_shot_miss_t002.ani,Cones.lua,letter-r.dds,male_shot_miss_t001.ani,female_jumpshot_aimmed_medium_t001.ani,Frustum.lua,female_idle_NoBall.ani,num-6.dds,types.xml,num-2.dds,number-3.mdl,models,power_bar_overlay.dds,Osd,num-7.dds,scoreboard.mdl,ball.dds,Animations,number-8.mdl,male_shot_celebration_t003.ani,female_idle_WBall.ani,female_hookshot_aimmed_medium2_t001.ani,power_bar_prompt.dds,letter-o.dds,number-5.mdl,cones.mdl,num-1.dds,Basketball.mdl,letter-r.mdl,letter-s.dds,number-6.mdl,Network.xml,female_shot_celebration2_t001_solve_000.ani,minigames,MyCamera.lua,Collection.lua,female_jumpshot_aimhi_medium_t002.ani,SoundMgr.lua,HUD,number-1.mdl,male_jumpshot_aimhigh_hard2_t002.ani,num-4.dds,female_shot_celebration_t003.fbx.ani,number-2.mdl,female_shot_miss2_t001_solve_000.ani,aim-reticle.dds,number-7.mdl,female_jumpshot_aimmed_hard_t002.ani,num-5.dds,female_hookshot_aimhi_hard2_t001.ani,Ball.lua,scoreboard.dds,num-3.dds,HORSE.bnk,MiniGames|||||||
05A7965F-2A214028-8F28FE23-675FAD69|Mercian Stone Slot (Taloc)|Equip an extra Stone in your Mercia  Fractured Realms inventory.|Unknown|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood|||||||||||||EP4127-NPER00050_00-STONESLOTT000351|UT5000-NPUR00010_00-LKWDSTONESLOTTAL||
06A2D1C0-B4864C14-8094B5DD-0489DA36|News Flash(Kikai Machine)|News Flash (Battle Lounge)|Unknown||1.75.0.85.PUB|U|35|P|||Administrator|||||||||lua,UI_number_S_8.dds,sound,UtilGarbage.lua,UI_number_S_9.dds,UI_number_S_1.dds,count_waku_es.dds,UI_number_S_0.dds,count_waku_it.dds,jp,UtilResource.lua,UtilSprite.lua,UI_number_S_7.dds,DataStation,TelopWindow.lua,NewsTelop,Countdown,count_waku_de.dds,Lib,gzcmn,GameMainWithOSDRenderer.lua,Data.lua,Hankagai,Base,UI_number_S_5.dds,count_waku.dds,TelopData_Hankagai.lua,count_waku_us.dds,Version.lua,Shinjyuku,UI_number_S_3.dds,UI_number_S_6.dds,home,soft,00,UI_number_S_2.dds,UI_number_S_4.dds,GetRegionResource.lua,TelopWindowRenderer.lua,InventryCheck.lua,Edo,WindowData.lua,sokuhou.bnk,Window.lua,CmnSoft,LoungeCockpit,count_waku_gb.dds,2D,April2012,MiniGame.lua,count_waku_fr.dds,design,dataInterface.lua|||||||
079D76BD-CB484098-A9F92D69-51072C44|Lost Planet 2 Trial Version Distribution Corner|Lost Planet 2 Trial Version Distribution Corner|Unknown|Capcom Co.,ltd|1.3.0.94.BETA|U|9|P||T040|Capcom Co.,ltd|||||||||shiratama01,padUtil.lua,furniture,shiratama04.hkx,shiratama04.mdl,Msg.xml,Downloader,Select.xml,light.mdl,misc.lua,common,Scripts,types.xml,osd,main.lua,MiniGames|||||||
07FB166B-2AB19A51-950C2A25-C51FCD70|Subway To Playground|Fastest way to get from here to the Playground.|Unknown||1.3.6.22.PUB|U|4|P||T042|jardussi|||||||||SubwayEnt.mdl,subwayent,Subway.lua,MiniGames,Network.xml,SubwayEnt.hkx|||||||
0886A1CB-EFA5496C-823B2281-7B9B42A4|Ritual of Unbinding|You completed the Ritual of Unbinding in Cutteridge Estate.|Unknown|Juggernaut Games|1.65.0.139.BETA|L||L||T031|Juggernaut Games||||||||||||||||
